code,brk_height,brk_tt_len,longhu_dis,xt_start,xt_end,brk_end,stage,date
1cff48ba0020c6fcdd6c4fe0e40f5247,6.51,2,-1,2018-04-10,2018-04-23,2018-04-25,5,2018-04-24
1cff48ba0020c6fcdd6c4fe0e40f5247,6.96,1,-1,2018-05-23,2018-06-13,2018-06-14,5,2018-06-14
1cff48ba0020c6fcdd6c4fe0e40f5247,6.33,1,-1,2018-07-18,2018-08-01,2018-08-02,5,2018-08-02
07677d24011778cdbf8234ef5cfa592d,3.36,1,-1,2018-02-26,2018-03-07,2018-03-08,5,2018-03-08
07677d24011778cdbf8234ef5cfa592d,11.9,3,-1,2018-03-08,2018-05-02,2018-05-07,5,2018-05-03
07677d24011778cdbf8234ef5cfa592d,5.34,1,-1,2018-06-19,2018-06-28,2018-06-29,5,2018-06-29
07677d24011778cdbf8234ef5cfa592d,21.85,3,1,2018-06-29,2018-07-23,2018-07-26,5,2018-07-24
69fcf68508baa8b6f9edb7f0c06ed95e,9.16,5,-1,2018-03-01,2018-03-29,2018-04-09,5,2018-03-30
69fcf68508baa8b6f9edb7f0c06ed95e,8.31,2,-1,2018-07-05,2018-07-23,2018-07-25,5,2018-07-24
751abcb890b1366a952ba76764f8dafa,4.74,3,-1,2018-02-14,2018-03-08,2018-03-13,5,2018-03-09
2564ac05cc99bc7cbe4ec4b06ad857ce,3.14,1,-1,2018-02-13,2018-03-05,2018-03-06,5,2018-03-06
2564ac05cc99bc7cbe4ec4b06ad857ce,6.13,2,-1,2018-03-06,2018-03-16,2018-03-20,5,2018-03-19
2564ac05cc99bc7cbe4ec4b06ad857ce,10.63,2,0,2018-03-20,2018-04-11,2018-04-13,5,2018-04-12
2564ac05cc99bc7cbe4ec4b06ad857ce,3.92,1,-1,2018-06-19,2018-07-19,2018-07-20,5,2018-07-20
77c4633ff3d3d530423df2a4fa94fe23,3.21,3,-1,2018-02-27,2018-03-08,2018-03-13,5,2018-03-09
77c4633ff3d3d530423df2a4fa94fe23,2.28,1,-1,2018-04-17,2018-05-24,2018-05-25,5,2018-05-25
77c4633ff3d3d530423df2a4fa94fe23,9.69,6,-1,2018-06-19,2018-07-20,2018-07-30,5,2018-07-23
d3a5bf2fdc0db016406b001de8bfee79,8.42,2,-1,2018-03-01,2018-03-29,2018-04-02,5,2018-03-30
d3a5bf2fdc0db016406b001de8bfee79,13.38,2,-1,2018-04-02,2018-04-12,2018-04-16,5,2018-04-13
d3a5bf2fdc0db016406b001de8bfee79,3.46,1,-1,2018-06-29,2018-07-17,2018-07-18,5,2018-07-18
