brk_end,code,created,date,stage,xt_end,xt_start
2018-08-17,7fbda5ed583b4f8286b744c4afc4119f,2018-08-29,2018-08-17,6,2018-08-15,2018-08-07
2018-08-07,7fbda5ed583b4f8286b744c4afc4119f,2018-08-29,2018-08-07,6,2018-08-02,2018-07-17
,a7c39e0dcf26d5daf02953a98bb49891,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,a7c39e0dcf26d5daf02953a98bb49891,2018-08-29,2018-08-14,4,2018-08-14,2018-07-18
,e2c621e70f459140222a4bcda91d4687,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,e2c621e70f459140222a4bcda91d4687,2018-08-29,2018-07-31,4,2018-07-31,2018-07-18
,552ea752297631f41c4cfe98d1f4e596,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,0f0bbd7225dd9216697c81fe45406c29,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,0f0bbd7225dd9216697c81fe45406c29,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
,bb2925dee34308c70a538e20a288b36f,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,bb2925dee34308c70a538e20a288b36f,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
,92423254206413a8a3cd3795023e432d,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,92423254206413a8a3cd3795023e432d,2018-08-29,2018-08-07,4,2018-08-07,2018-07-18
,12ac4da34a378adfcb1460479ee686ad,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,9c735f04076891b0c675471bb585883a,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,9c735f04076891b0c675471bb585883a,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,5229edc3c6e42ee8dab6535b6830fe46,2018-08-29,2018-08-29,2,2018-08-29,2018-08-03
,5229edc3c6e42ee8dab6535b6830fe46,2018-08-29,2018-07-31,4,2018-07-31,2018-07-18
,bde30ffd37d1c926c748cb1a6a0324b5,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,bde30ffd37d1c926c748cb1a6a0324b5,2018-08-29,2018-07-31,4,2018-07-31,2018-07-19
2018-08-27,358d561de2f8019aa46bcfebdfcd7f50,2018-08-29,2018-08-27,6,2018-08-23,2018-08-06
,358d561de2f8019aa46bcfebdfcd7f50,2018-08-29,2018-07-27,4,2018-07-27,2018-07-17
,2216d79f314c275b6b1c4c76431f5c1a,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,1df0c336036f567ccb110777f93ad987,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,1df0c336036f567ccb110777f93ad987,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,2d81188d074185fd7f5f7a3f00ab6183,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
2018-08-16,2d81188d074185fd7f5f7a3f00ab6183,2018-08-29,2018-08-16,6,2018-08-14,2018-07-17
,0e6dc87ece856daac6771584a663e144,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,0e6dc87ece856daac6771584a663e144,2018-08-29,2018-08-01,4,2018-08-01,2018-07-17
,9a1a22c018793952c21a6e055831f1c4,2018-08-29,2018-08-29,2,2018-08-29,2018-08-17
,9a1a22c018793952c21a6e055831f1c4,2018-08-29,2018-08-15,4,2018-08-15,2018-07-18
,6bc0df64f03b014ffaf166f71a7c2736,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,6bc0df64f03b014ffaf166f71a7c2736,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,d3fd6ee06f4d4c67eb34c2ac120cc42c,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,d3fd6ee06f4d4c67eb34c2ac120cc42c,2018-08-29,2018-08-01,4,2018-08-01,2018-07-17
,57ea90075b5a8606d1500b20f202608a,2018-08-29,2018-08-29,2,2018-08-29,2018-08-03
2018-08-03,57ea90075b5a8606d1500b20f202608a,2018-08-29,2018-08-03,6,2018-08-01,2018-07-18
,87eec980faeb53085bc450399b8bb274,2018-08-29,2018-08-29,2,2018-08-29,2018-07-23
